,id,time,ego_x,ego_y,ego_theta,npc_x,npc_y,npc_theta,throttle,brake,steering,ego_lane,ego_offset,npc_lane,npc_offset
278,4,1695364903.7714279,592618.7440338135,4134147.8659057617,2.3310804589776017,592609.8960113525,4134150.7643432617,2.3790374696974936,18.652360826681857,0.0,-1.836833891172726,137,0.19822717687069946,136,0.1421881768278135
279,4,1695364903.8514426,592618.4415206909,4134148.184020996,2.32918124014558,592609.8960113525,4134150.7643432617,2.3790374696974936,17.87827219740684,0.0,-1.779120362210188,137,0.21928413703763625,136,0.1421881768278135
280,4,1695364904.0057976,592618.1714630127,4134148.469055176,2.327531314756481,592609.5310211182,4134151.1564941406,2.3790374696974936,40.575647208130306,0.0,-1.6548732610368944,137,0.23883849030108759,136,0.17362149856921572
281,4,1695364904.089948,592617.8930969238,4134148.7639160156,2.3259038455613528,592609.105255127,4134151.614013672,2.3790374696974936,35.67757415255541,0.0,-1.5711854854979537,137,0.2597609759202416,136,0.2103396024561435
282,4,1695364904.245719,592617.3398742676,4134149.3526000977,2.322859265797981,592608.6582489014,4134152.0942993164,2.3790374696974936,20.358737492445446,0.0,-1.4787915141808192,137,0.3032781089266307,136,0.24884468921932995
283,4,1695364904.3256958,592617.0409698486,4134149.672180176,2.321331450123875,592608.2253036499,4134152.559448242,2.3790374696974936,16.392922146421967,0.0,-1.3669404962489602,137,0.3278869511708725,136,0.28612232381013547
284,4,1695364904.4056065,592616.7028884888,4134150.034729004,2.319710791138002,592607.7964401245,4134153.020263672,2.3790374696974936,16.30084530729432,0.0,-1.2830874893991069,137,0.3565037196109869,136,0.3230835745474394
285,4,1695364904.578089,592616.0989151001,4134150.6852111816,2.317011473790304,592607.3498306274,4134153.5001831055,2.3790374696974936,25.17652203676613,0.0,-1.1972629391390066,137,0.4096474762227797,136,0.3616003792311259
286,4,1695364904.578089,592616.0989151001,4134150.6852111816,2.317011473790304,592606.9200439453,4134153.961883545,2.3790374696974936,20.3679846107188,0.0,-1.1520548912613606,137,0.4096474762227797,136,0.3985616299684299
287,4,1695364904.7296052,592615.4818115234,4134151.353363037,2.3144756716637342,592606.4680175781,4134154.4476013184,2.3790374696974936,25.723981116774645,0.0,-1.0963193177140291,137,0.4664980529778011,136,0.4375295745913686
288,4,1695364904.805958,592615.1688995361,4134151.6934814453,2.3132832934146013,592606.0336303711,4134154.914337158,2.3790374696974936,34.18304892569534,0.0,-0.9932975885029962,137,0.4962812419519441,136,0.4749566126685498
