,id,time,ego_x,ego_y,heading,id1_x,id1_y,id1_theta,throttle,brake,steering,id2_x,id2_y,id2_theta
7981,138,1697026454.993411,592606.3897018433,4134161.299621582,2.3023743114848303,592591.9296417236,4134174.6829223633,2.2306935391748084,30.873527021197134,0.0,0.248739583529705,592585.9912872314,4134189.9739379883,2.3786840682235777
7982,138,1697026455.1520958,592605.542678833,4134162.2432250977,2.303004947706154,592591.5338592529,4134175.157775879,2.2318781132184995,27.163168018617494,0.0,0.31350537605253764,592584.9625091553,4134190.9583129883,2.3781085591164697
7983,138,1697026455.3251932,592604.5635604858,4134163.3325195312,2.303986971386804,592591.1917114258,4134175.546234131,2.2331026346782323,24.783406443702166,0.0,0.34750499694596,592584.7786102295,4134191.1342773438,2.378241450853835
7984,138,1697026455.392516,592604.0981445312,4134163.8495788574,2.3045562399444712,592590.7989349365,4134175.990966797,2.234520501631607,15.699999999999998,0.0,0.4268814635744843,592584.3281097412,4134191.565307617,2.3788587715897336
7985,138,1697026455.392516,592604.0981445312,4134163.8495788574,2.3045562399444712,592590.4012298584,4134176.4412231445,2.2359556791319335,38.57493141558298,0.0,0.4818903613808419,592583.6872406006,4134192.178588867,2.378063551694396
7986,138,1697026455.558176,592603.221031189,4134164.822418213,2.305834383266248,592589.9883422852,4134176.908721924,2.2374457177502904,46.1233926520061,0.0,0.4822778432330499,592582.9111938477,4134192.920928955,2.378198041328403
7987,138,1697026455.6365972,592602.6900939941,4134165.41015625,2.3066950852415573,592589.6069030762,4134177.340576172,2.238822572023196,49.318781580779785,0.0,0.5314512170501915,592582.0400085449,4134193.7543945312,2.37940738277004
7988,138,1697026455.7975268,592601.9616012573,4134166.214996338,2.3079850884528845,592589.1894073486,4134177.813293457,2.2403293885562903,53.745531073940676,0.0,0.5525197918882625,592581.1023864746,4134194.6518554688,2.3777567555391954
7989,138,1697026455.873849,592601.9616012573,4134166.214996338,2.3079850884528845,592588.7858734131,4134178.2702026367,2.241786137661279,65.9079619586553,0.0,0.5614033691802766,592580.1174163818,4134195.5927734375,2.3793953985452276
7990,138,1697026455.9888294,592601.7754745483,4134166.4203186035,2.308326779179507,592588.4073791504,4134178.6987304688,2.2431520729737997,55.806235424278725,0.0,0.5598283555564568,592579.100402832,4134196.5644226074,2.3788499831582044
7991,138,1697026456.0412498,592601.334815979,4134166.9060058594,2.309140802656433,592588.0081939697,4134179.150695801,2.244593109428479,39.133680564689755,0.0,0.5917253474628936,592578.0615081787,4134197.5571899414,2.378852380003167
