Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,NPC2X,NPC2Y,NPC2Theta,throttle,brake,steering,egoLane,egoLaneOffset,NPC1Lane,NPC1LaneOffset,NPC2Lane,NPC2LaneOffset
3369,53,1697431823.6665,592616.6985778809,4134150.005554199,2.32121633626992,592607.6666183472,4134152.8164978023,2.3790374696974936,592616.8871688843,4134160.413665772,2.3783327972785173,15.699999999999998,0.0,-1.3857108563134393,137,0.3324298521981417,136,0.08606812607291675,139,0.008252521523361379
3370,53,1697431823.7445302,592616.3962249756,4134150.329772949,2.3197443547979777,592607.200088501,4134153.300598145,2.3790374696974936,592616.5514907837,4134160.734863281,2.3782550329752894,26.736413832909165,0.0,-1.2665206875312602,137,0.35800924987420674,136,0.11384545661830126,139,0.008413265235503295
3371,53,1697431823.9075484,592615.8612365723,4134150.905700684,2.317347013129586,592606.7160644531,4134153.802886963,2.3790374696974936,592616.2084274292,4134161.063110352,2.378334927807373,46.97304907986518,0.0,-1.2066185666374756,137,0.4048970166543676,136,0.14269204740931593,139,0.008567943147187026
3372,53,1697431823.986434,592615.5070648193,4134151.288513184,2.3158541674334723,592606.4764709473,4134154.289733887,2.355100711689176,592616.0242462158,4134161.239318848,2.3782558319236102,34.26704995365891,0.0,-1.1373572321689245,137,0.43705105037311504,136,0.3292179059292191,139,0.008634666952227065
3373,53,1697431824.1003428,592615.1865692139,4134151.635925293,2.314575554209327,592606.2171783447,4134154.858642578,2.324899133581084,592615.573135376,4134161.6709594727,2.378336792020121,54.887561026440096,0.0,-1.1154243118814833,137,0.46686931966407086,136,0.5614729492005938,139,0.008843937068034467
3374,53,1697431824.150049,592614.8122940063,4134152.042663574,2.313108770094898,592605.9813919067,4134155.3760681152,2.297379624986036,592614.9315567017,4134162.2847595215,2.3782558319236102,30.62614961532875,0.0,-1.0045953534398009,137,0.5024378375526062,136,0.7727411968563668,139,0.0090805032859037
3375,53,1697431824.3056755,592614.1669006348,4134152.7467041016,2.310826323688492,592605.7232589722,4134155.942443848,2.2672060100691738,592614.1549301147,4134163.027740479,2.378339721497298,24.95729312558518,0.0,-0.8920058208064366,137,0.5656964188454486,136,1.0039650631237365,139,0.009350431406292955
3376,53,1697431824.3056755,592614.1669006348,4134152.7467041016,2.310826323688492,592605.4804229736,4134156.475341797,2.238787418297079,592613.283164978,4134163.8618164062,2.3782547666591825,31.22280627876224,0.0,-0.8040027622044524,137,0.5656964188454486,136,1.22154926992904,139,0.009711346533554993
3377,53,1697431824.4618762,592614.1669006348,4134152.7467041016,2.310826323688492,592605.2337341309,4134157.0166625977,2.209896381751264,592612.3448104858,4134164.75958252,2.378342917290581,33.5627178256741,0.0,-0.7839144598958383,137,0.5656964188454486,136,1.4425609684806102,139,0.010081360361504308
3378,53,1697431824.5423572,592613.8187789917,4134153.127716065,2.3097681187178347,592604.9864196777,4134157.5592651367,2.180924917741152,592611.360168457,4134165.701690674,2.378252902446434,34.98945981493398,0.0,-0.7734751076869254,137,0.600727038542853,136,1.6640706786534327,139,0.010515065094264572
