id,,Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
2,43,94,2,1697440495.340189,592503.8330383301,4134537.7126922607,-2.027443586766433,592499.7401733398,4134528.983200073,0.8085261133049926,0.0,46.56583851366008,25.956784801782675
2,44,95,2,1697440495.505398,592503.6997680664,4134537.438858032,-2.0097591907904526,592500.4035949707,4134529.678070069,0.8085261133049926,0.0,47.648957384225056,26.630375016585724
2,45,96,2,1697440495.567884,592503.4655456543,4134536.92036438,-1.9744296698928263,592501.0893249512,4134530.396270752,0.8085261133049926,0.0,45.25271629556988,30.18788391321096
2,46,97,2,1697440495.567884,592503.4655456543,4134536.92036438,-1.9744296698928263,592501.8096923828,4134531.150741577,0.8085261133049926,0.0,50.56244154326482,32.744939596737055
2,47,98,2,1697440495.7316213,592503.2978515625,4134536.510421753,-1.9427449839118989,592502.4819030762,4134531.8547973633,0.8085261133049926,0.0,48.29728911253975,28.804146936892465
2,48,99,2,1697440495.7316213,592503.2978515625,4134536.510421753,-1.9427449839118989,592503.1481018066,4134532.55253601,0.8085261133049926,0.0,53.2236443749757,26.441523303288456
3,0,100,3,1697440504.013984,592516.430847168,4134552.500869751,-2.337404468119976,592482.6284332275,4134511.06111145,0.8085255806727787,19.485054914333823,0.0,0.4534299771147035
3,1,101,3,1697440504.0869746,592516.2684326172,4134552.3321990967,-2.337150590592886,592482.6284332275,4134511.06111145,0.8085255806727787,20.60962851674048,0.0,0.4774801201151671
3,2,102,3,1697440504.167983,592516.1219177246,4134552.179992676,-2.336914167417559,592482.6284332275,4134511.06111145,0.8085255806727787,51.29171050866834,0.0,0.5229397526703061
3,3,103,3,1697440504.3318963,592515.8069152832,4134551.852523804,-2.336324104792848,592482.6284332275,4134511.06111145,0.8085255806727787,37.17230791232315,0.0,0.5680336581830084
3,4,104,3,1697440504.4081824,592515.6152954102,4134551.653060913,-2.33593760788558,592482.6284332275,4134511.06111145,0.8085255806727787,47.859541801905934,0.0,0.6109791055162923
3,5,105,3,1697440504.4931798,592515.4591064453,4134551.4904022217,-2.335595364070434,592482.6284332275,4134511.06111145,0.8085255806727787,39.95039963463335,0.0,0.6665173200859915
3,6,106,3,1697440504.5672448,592515.2698669434,4134551.293197632,-2.33515544051549,592482.6284332275,4134511.06111145,0.8085255806727787,32.205714719529034,0.0,0.7310701638207503
3,7,107,3,1697440504.7303538,592514.9509277344,4134550.960372925,-2.3343631199622887,592482.6284332275,4134511.06111145,0.8085255806727787,45.39706355021637,0.0,0.788959369807717
3,8,108,3,1697440504.807645,592514.7430419922,4134550.743209839,-2.333780545118266,592482.6284332275,4134511.06111145,0.8085255806727787,45.84912014326673,0.0,0.8326215679335729
3,9,109,3,1697440504.8875616,592514.5238342285,4134550.513946533,-2.3331250223847384,592482.6284332275,4134511.06111145,0.8085255806727787,23.481472625679267,0.0,0.916785219228481
3,10,110,3,1697440504.968006,592514.2993774414,4134550.2788391113,-2.332421414725776,592482.6284332275,4134511.06111145,0.8085255806727787,26.387111184367985,0.0,0.9620143097286168
3,11,111,3,1697440505.1306827,592513.8702697754,4134549.828475952,-2.3310038754755418,592482.6284332275,4134511.06111145,0.8085255806727787,24.31566715349599,0.0,1.0224910128843765
3,12,112,3,1697440505.2114017,592513.6072692871,4134549.551803589,-2.330081593366476,592482.6284332275,4134511.06111145,0.8085255806727787,41.02176189235563,0.0,0.9689816272464096
3,13,113,3,1697440505.2890987,592513.3980102539,4134549.331314087,-2.3293644917041654,592482.6284332275,4134511.06111145,0.8085255806727787,49.09872971022008,0.0,1.2513696614968952
3,14,114,3,1697440505.2890987,592513.3980102539,4134549.331314087,-2.3293644917041654,592482.6284332275,4134511.06111145,0.8085255806727787,61.9944874986373,0.0,1.3158373174372548
3,15,115,3,1697440505.4727516,592512.8501586914,4134548.752624512,-2.32697449750805,592482.6284332275,4134511.06111145,0.8085255806727787,39.77863857253527,0.0,1.3858088972913556
3,16,116,3,1697440505.632419,592512.4231872559,4134548.299682617,-2.3249152729600944,592482.6284332275,4134511.06111145,0.8085255806727787,18.68684144892996,0.0,1.4568431698152495
3,17,117,3,1697440505.7002006,592512.0231323242,4134547.8736572266,-2.3229521543612783,592482.6284332275,4134511.06111145,0.8085255806727787,18.952080793075574,0.0,1.474666973360652
3,18,118,3,1697440505.7002006,592512.0231323242,4134547.8736572266,-2.3229521543612783,592482.6284332275,4134511.06111145,0.8085255806727787,36.69070198931501,0.0,1.7646412746038682
3,19,119,3,1697440505.9283974,592511.3558959961,4134547.1593322754,-2.3194392736328417,592482.6284332275,4134511.06111145,0.8085255806727787,44.550139997863695,0.0,1.8035030875707148
3,20,120,3,1697440505.9283974,592511.3558959961,4134547.1593322754,-2.3194392736328417,592482.6284332275,4134511.06111145,0.8085255806727787,28.67360960651041,0.0,1.952795561504776
3,21,121,3,1697440506.111567,592510.7183227539,4134546.472061157,-2.315270693614827,592482.6284332275,4134511.06111145,0.8085255806727787,22.24999634396565,0.0,1.9725103753561304
3,22,122,3,1697440506.1673734,592510.3955383301,4134546.121948242,-2.3130816603770565,592482.6284332275,4134511.06111145,0.8085255806727787,16.461131703033654,0.0,2.066596721594548
3,23,123,3,1697440506.3321743,592509.7881164551,4134545.458969116,-2.3087716379101835,592482.6284332275,4134511.06111145,0.8085255806727787,16.499676739501318,0.0,2.538036816968189
3,24,124,3,1697440506.3321743,592509.7881164551,4134545.458969116,-2.3087716379101835,592483.1170654297,4134511.5728912354,0.8085261133049926,18.753552286746963,0.0,3.0415152725833856
3,25,125,3,1697440506.4878569,592509.0992736816,4134544.699905396,-2.302825942881414,592483.676071167,4134512.158355713,0.8085261133049926,14.9982467735657,1.45,3.705123877278111
