,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
3324,67,1697441553.530868,592509.4046630859,4134545.0469055176,-2.304688689146304,592490.0753479004,4134518.860702514,0.8085261133049926,1.5699999999999998,13.05,3.7114681650191015
3325,67,1697441553.7710838,592508.3477172852,4134543.8684692383,-2.2927350048998747,592490.736541748,4134519.553192138,0.8085261133049926,0.0,15.02474525279419,3.992919597164537
3326,67,1697441553.8506565,592508.0021362305,4134543.4769439697,-2.28759854853212,592491.3924407959,4134520.240158081,0.8085261133049926,0.0,19.86441216198288,6.47295798197712
3327,67,1697441553.9267194,592507.661529541,4134543.087173462,-2.28041769158927,592492.0525665283,4134520.931549072,0.8085261133049926,0.0,15.0201931423755,8.77367074452457
3328,67,1697441554.006713,592507.3280334473,4134542.700317383,-2.2713127863993003,592492.7171020508,4134521.627548218,0.8085261133049926,0.0,25.044210399514824,10.837477663893832
3329,67,1697441554.0872326,592507.0820007324,4134542.41053772,-2.2627688413593576,592493.387878418,4134522.330093384,0.8085261133049926,0.0,21.95235137784829,12.017221899775544
3330,67,1697441554.2472954,592506.6446228027,4134541.8827819824,-2.2446003091428706,592494.0617370605,4134523.03590393,0.8085261133049926,0.0,23.993010854840797,12.922491402083654
3331,67,1697441554.327777,592506.3016357422,4134541.454605103,-2.228341237425143,592494.7261047363,4134523.731704712,0.8085261133049926,0.0,26.374834053392448,14.122107372601556
3332,67,1697441554.4065094,592506.0082092285,4134541.076354981,-2.2130263359237023,592495.4013977051,4134524.438980103,0.8085261133049926,0.0,28.810832572687183,15.946995793115809
3333,67,1697441554.568204,592505.4579772949,4134540.3312072754,-2.1791552883480234,592495.9259796143,4134524.98840332,0.8085261133049926,0.0,29.93679976778796,16.89678244235485
3334,67,1697441554.6469247,592505.2333984375,4134540.0105133057,-2.1635330389739416,592496.5233154297,4134525.61402893,0.8085261133049926,0.0,29.06596835944193,18.82012546118721
3335,67,1697441554.755424,592504.9601135254,4134539.604751587,-2.142258778571435,592497.1130981445,4134526.2317352295,0.8085261133049926,0.0,32.3538920642044,20.6855291300926
